test_cost,test_acc,cumulative_time_ns
1,0.24860000610351562,141796.5
2,0.3522000014781952,279394.25
3,0.46860000491142273,416169.15625
4,0.5885000228881836,553896.25
5,0.637499988079071,690544.375
6,0.6730999946594238,829662.0625
7,0.701200008392334,966350.1875
8,0.7121000289916992,1103897.875
9,0.7257000207901001,1240493.0
10,0.7343999743461609,1377942.125
11,0.7422000169754028,1517655.5
12,0.7487000226974487,1655168.875
13,0.7549999952316284,1793069.875
14,0.7623999714851379,1930246.625
15,0.7652000188827515,2067596.625
16,0.7696999907493591,2205801.5
17,0.7777000069618225,2343116.25
18,0.7813000082969666,2482194.0
19,0.7839999794960022,2620642.0
20,0.7874000072479248,2757979.0
21,0.7882000207901001,2897830.0
22,0.7926999926567078,3034314.5
23,0.7979999780654907,3171998.25
24,0.7982000112533569,3309059.75
25,0.8027999997138977,3445945.25
26,0.8057000041007996,3583825.5
27,0.8080000281333923,3721710.25
28,0.8094000220298767,3859628.0
29,0.8116999864578247,3996807.25
30,0.8141999840736389,4134355.25
31,0.816100001335144,4273026.0
32,0.8170999884605408,4441197.0
33,0.8210999965667725,4581622.0
34,0.8217999935150146,4718127.5
35,0.8227999806404114,4855967.5
36,0.8267999887466431,4992444.5
37,0.8284000158309937,5129557.0
38,0.8300999999046326,5265628.0
39,0.8306000232696533,5402828.0
40,0.8324999809265137,5538975.0
41,0.8320000171661377,5675855.5
42,0.8339999914169312,5811798.0
43,0.8334000110626221,5949295.5
44,0.8356999754905701,6085860.5
45,0.8353999853134155,6222835.5
46,0.8367000222206116,6358848.0
47,0.8393999934196472,6496939.5
48,0.8389999866485596,6633767.0
49,0.8410000205039978,6769803.0
50,0.8440999984741211,6906945.5
51,0.8450000286102295,7045283.5
52,0.845300018787384,7182697.0
53,0.8457000255584717,7318564.5
54,0.8464999794960022,7456962.5
55,0.8483999967575073,7594295.5
56,0.8500999808311462,7730504.5
57,0.849399983882904,7868824.0
58,0.8519999980926514,8005687.0
59,0.8515999913215637,8143326.0
60,0.8529000282287598,8280025.5
61,0.8522999882698059,8418296.0
62,0.8544999957084656,8554580.0
63,0.8553000092506409,8691710.0
64,0.8554999828338623,8828037.0
65,0.8553000092506409,8964683.0
66,0.8557999730110168,9100841.0
67,0.8571000099182129,9239074.0
68,0.8561999797821045,9375455.0
69,0.8597000241279602,9511988.0
70,0.858299970626831,9649400.0
71,0.859499990940094,9787178.0
72,0.8607000112533569,9924399.0
73,0.8629999756813049,10060813.0
74,0.8622999787330627,10199126.0
75,0.8636000156402588,10335567.0
76,0.864300012588501,10472946.0
77,0.8637999892234802,10609913.0
78,0.8654999732971191,10746476.0
79,0.8657000064849854,10883695.0
80,0.864799976348877,11020413.0
81,0.8636999726295471,11157421.0
82,0.8655999898910522,11294047.0
83,0.8661999702453613,11431280.0
84,0.8676999807357788,11567475.0
85,0.8676999807357788,11704525.0
86,0.866599977016449,11841087.0
87,0.8673999905586243,11979493.0
88,0.8671000003814697,12116022.0
89,0.867900013923645,12252922.0
90,0.8676999807357788,12389514.0
91,0.8676999807357788,12527698.0
92,0.867900013923645,12664250.0
93,0.8687999844551086,12800415.0
94,0.8680999875068665,12938602.0
95,0.8694000244140625,13075166.0
96,0.870199978351593,13212464.0
97,0.8704000115394592,13349429.0
98,0.8698999881744385,13487000.0
99,0.8715999722480774,13624671.0
100,0.8715999722480774,13761995.0
101,0.8718000054359436,13899955.0
102,0.8733000159263611,14036943.0
103,0.871999979019165,14173900.0
104,0.8743000030517578,14310372.0
105,0.8748999834060669,14447476.0
106,0.8748000264167786,14584838.0
