test_cost,test_acc,cumulative_time_ns
1,0.38742393255233765,133399.078125
2,0.4832657277584076,290405.25
3,0.5192697644233704,416323.6875
4,0.5588235259056091,552271.875
5,0.5968559980392456,674928.0
6,0.6303245425224304,834735.0625
7,0.686105489730835,959200.5625
8,0.7342799305915833,1093631.75
9,0.8225151896476746,1216312.125
10,0.9624746441841125,1374403.25
11,0.954361081123352,1499331.875
12,0.9604462385177612,1637961.625
13,0.9584178328514099,1761159.25
14,0.953853964805603,1918005.25
15,0.9548681378364563,2040451.75
16,0.9523326754570007,2178575.25
17,0.9518255591392517,2300477.75
18,0.9508113861083984,2460093.0
19,0.953346848487854,2586010.0
20,0.954361081123352,2720661.75
21,0.9497971534729004,2848616.25
22,0.9508113861083984,2998275.25
23,0.9487829804420471,3122907.0
24,0.9513184428215027,3261215.0
25,0.9457403421401978,3385932.0
26,0.9513184428215027,3539685.5
27,0.9437119960784912,3663541.25
28,0.9416835904121399,3803377.0
29,0.9462474584579468,3927929.5
30,0.9482758641242981,4092275.0
31,0.9482758641242981,4225568.5
32,0.9462474584579468,4391228.0
33,0.9406693577766418,4536536.5
34,0.9447261691093445,4675957.0
35,0.9462474584579468,4827340.5
36,0.9406693577766418,4966979.0
37,0.9437119960784912,5153285.5
38,0.9406693577766418,5310818.5
39,0.9432048797607422,5462912.0
40,0.9432048797607422,5588651.5
41,0.9411764740943909,5729716.5
42,0.9447261691093445,5887423.0
43,0.9391480684280396,6033314.0
44,0.9437119960784912,6201330.5
45,0.9406693577766418,6334901.5
46,0.9442190527915955,6466686.0
47,0.9406693577766418,6623007.5
48,0.9432048797607422,6788084.0
49,0.9442190527915955,6926402.5
50,0.9406693577766418,7064435.5
