test_cost,test_acc,cumulative_time_ns
1,0.20000000298023224,138608.890625
2,0.33219999074935913,276249.8125
3,0.44190001487731934,410982.3125
4,0.5347999930381775,545611.375
5,0.6122999787330627,683325.6875
6,0.6615999937057495,816340.6875
7,0.7110999822616577,951288.75
8,0.744700014591217,1089724.125
9,0.7728000283241272,1224035.375
10,0.794700026512146,1357822.125
11,0.8156999945640564,1497415.375
12,0.8339999914169312,1630060.0
13,0.8472999930381775,1764906.25
14,0.8610000014305115,1901002.125
15,0.8708000183105469,2036954.625
16,0.882099986076355,2172298.75
17,0.8858000040054321,2306315.5
18,0.8938999772071838,2441302.0
19,0.8992999792098999,2574816.5
20,0.9053000211715698,2717814.75
21,0.9086999893188477,2860480.75
22,0.9158999919891357,2995616.25
23,0.9215999841690063,3132393.75
24,0.9257000088691711,3266024.5
25,0.9293000102043152,3402248.0
26,0.9319999814033508,3537090.75
27,0.9340000152587891,3671947.5
28,0.9402999877929688,3805265.5
29,0.9420999884605408,3943283.75
30,0.9435999989509583,4077371.25
31,0.9470000267028809,4211452.5
32,0.9498000144958496,4347470.5
33,0.9517999887466431,4480350.0
34,0.9537000060081482,4614909.0
35,0.9538000226020813,4753185.0
36,0.9559000134468079,4898656.5
37,0.9567999839782715,5036543.5
38,0.9585000276565552,5169960.5
39,0.9603000283241272,5304899.5
40,0.9607999920845032,5440510.5
41,0.9624000191688538,5574439.5
42,0.9629999995231628,5709005.0
43,0.963699996471405,5845294.5
44,0.9645000100135803,5978734.0
45,0.965499997138977,6112069.5
46,0.9656999707221985,6249071.5
47,0.9671000242233276,6384063.5
48,0.967199981212616,6517531.0
49,0.9674000144004822,6653349.0
50,0.9675999879837036,6787867.0
51,0.9678999781608582,6922612.5
52,0.9692999720573425,7057450.0
53,0.9689000248908997,7191935.5
54,0.9695000052452087,7325573.5
55,0.970300018787384,7459483.5
56,0.97079998254776,7592599.0
57,0.9713000059127808,7728489.5
58,0.9714999794960022,7862610.5
59,0.9710000157356262,7997041.5
60,0.9717000126838684,8131765.0
61,0.972599983215332,8271228.5
62,0.9735000133514404,8406579.0
63,0.9732999801635742,8541136.0
64,0.9743000268936157,8675990.0
65,0.9735999703407288,8809362.0
66,0.9745000004768372,8942348.0
67,0.9746999740600586,9079143.0
68,0.9750000238418579,9213814.0
69,0.9757000207901001,9345821.0
70,0.9753999710083008,9481884.0
71,0.9758999943733215,9616635.0
72,0.9750000238418579,9750002.0
73,0.9757999777793884,9888301.0
74,0.9760000109672546,10022375.0
75,0.9761999845504761,10156717.0
76,0.9771000146865845,10291557.0
77,0.9768000245094299,10426395.0
78,0.9767000079154968,10558670.0
79,0.9769999980926514,10694697.0
80,0.9772999882698059,10827903.0
81,0.977400004863739,10962367.0
82,0.9775999784469604,11097594.0
83,0.9771999716758728,11233038.0
84,0.9779999852180481,11367168.0
85,0.9787999987602234,11503229.0
86,0.9775000214576721,11635836.0
87,0.9781000018119812,11771139.0
88,0.9776999950408936,11906069.0
89,0.9778000116348267,12042581.0
90,0.9783999919891357,12177791.0
91,0.9779000282287598,12312458.0
92,0.9785000085830688,12446179.0
93,0.9786999821662903,12581572.0
94,0.978600025177002,12716689.0
95,0.9787999987602234,12851946.0
96,0.9789999723434448,12986580.0
97,0.9789000153541565,13122956.0
98,0.9785000085830688,13255778.0
99,0.9789999723434448,13389443.0
100,0.9779999852180481,13524453.0
101,0.9782999753952026,13658860.0
102,0.978600025177002,13793417.0
103,0.9789000153541565,13936963.0
104,0.9789999723434448,14079651.0
105,0.9789999723434448,14214058.0
106,0.978600025177002,14349926.0
107,0.9785000085830688,14483602.0
108,0.9793000221252441,14632102.0
109,0.9786999821662903,14776889.0
110,0.978600025177002,14921706.0
111,0.9789999723434448,15057000.0
112,0.9793999791145325,15214809.0
113,0.9785000085830688,15360647.0
114,0.9789999723434448,15498954.0
115,0.9797000288963318,15635425.0
116,0.9797999858856201,15768468.0
117,0.9799000024795532,15902158.0
118,0.9797000288963318,16038147.0
119,0.9800000190734863,16172825.0
120,0.9797000288963318,16310575.0
121,0.9797000288963318,16461462.0
122,0.9799000024795532,16602849.0
123,0.980400025844574,16749428.0
124,0.9800000190734863,16891032.0
125,0.9803000092506409,17045690.0
126,0.9800999760627747,17184896.0
127,0.9800000190734863,17343844.0
128,0.9800000190734863,17488456.0
129,0.9797999858856201,17642422.0
130,0.9794999957084656,17789438.0
131,0.9800000190734863,17933328.0
132,0.9797999858856201,18074826.0
133,0.9803000092506409,18209578.0
134,0.9797000288963318,18386930.0
135,0.9800999760627747,18522454.0
136,0.9801999926567078,18668976.0
137,0.9793999791145325,18802632.0
138,0.9800000190734863,18943724.0
139,0.9800999760627747,19084742.0
140,0.9797999858856201,19217638.0
141,0.9800000190734863,19354252.0
142,0.9799000024795532,19487678.0
143,0.9811000227928162,19621334.0
144,0.9799000024795532,19756420.0
145,0.9805999994277954,19892330.0
146,0.9800999760627747,20026018.0
147,0.9801999926567078,20159820.0
148,0.9799000024795532,20295922.0
149,0.9801999926567078,20430386.0
150,0.9803000092506409,20564842.0
151,0.9800999760627747,20701020.0
152,0.9811999797821045,20834770.0
153,0.9800000190734863,20969038.0
154,0.9803000092506409,21105308.0
155,0.9801999926567078,21239288.0
156,0.9805999994277954,21373888.0
157,0.9801999926567078,21508374.0
158,0.9805999994277954,21641128.0
159,0.9801999926567078,21773816.0
160,0.9805999994277954,21909214.0
161,0.9810000061988831,22041918.0
162,0.9807000160217285,22176616.0
163,0.980400025844574,22313212.0
164,0.9811000227928162,22447300.0
165,0.9807999730110168,22582104.0
166,0.9800000190734863,22717916.0
167,0.9805999994277954,22851294.0
168,0.9812999963760376,22986116.0
169,0.9811000227928162,23122466.0
170,0.9804999828338623,23255144.0
171,0.9811000227928162,23388794.0
172,0.9800999760627747,23524260.0
173,0.9801999926567078,23658436.0
174,0.9805999994277954,23792786.0
175,0.98089998960495,23928690.0
176,0.9807999730110168,24062292.0
177,0.9804999828338623,24196654.0
178,0.9805999994277954,24333132.0
179,0.9807000160217285,24469192.0
180,0.9801999926567078,24605502.0
181,0.9807999730110168,24739326.0
182,0.9811000227928162,24878150.0
183,0.9814000129699707,25012004.0
184,0.9797000288963318,25147006.0
185,0.980400025844574,25281548.0
186,0.9807000160217285,25414752.0
187,0.9805999994277954,25551226.0
188,0.98089998960495,25685518.0
189,0.9807999730110168,25819570.0
190,0.9804999828338623,25955144.0
191,0.9804999828338623,26088944.0
192,0.9811999797821045,26222766.0
193,0.980400025844574,26358394.0
194,0.9801999926567078,26492922.0
195,0.9811000227928162,26625186.0
196,0.9805999994277954,26762252.0
197,0.9796000123023987,26895298.0
198,0.9810000061988831,27029750.0
199,0.9797000288963318,27166286.0
200,0.980400025844574,27299740.0
201,0.9810000061988831,27433760.0
202,0.9807999730110168,27569464.0
203,0.9805999994277954,27702092.0
204,0.9799000024795532,27837674.0
205,0.9799000024795532,27973740.0
206,0.9812999963760376,28107086.0
207,0.9810000061988831,28241600.0
208,0.9804999828338623,28377036.0
209,0.9801999926567078,28509526.0
210,0.9810000061988831,28644360.0
211,0.9807000160217285,28780674.0
212,0.98089998960495,28914958.0
213,0.9807000160217285,29050404.0
214,0.980400025844574,29186982.0
215,0.9811999797821045,29322156.0
216,0.9807000160217285,29455662.0
217,0.9805999994277954,29592102.0
218,0.9810000061988831,29725180.0
219,0.980400025844574,29859386.0
220,0.9810000061988831,29995138.0
221,0.9807999730110168,30128804.0
222,0.9807000160217285,30261450.0
223,0.980400025844574,30398710.0
224,0.9810000061988831,30531034.0
225,0.9807000160217285,30665580.0
226,0.98089998960495,30800882.0
227,0.9807000160217285,30934798.0
228,0.9801999926567078,31067808.0
229,0.9804999828338623,31203810.0
230,0.9800000190734863,31337714.0
231,0.9811999797821045,31471624.0
232,0.9800999760627747,31607796.0
233,0.9811999797821045,31740314.0
234,0.9811000227928162,31874798.0
235,0.9807000160217285,32011904.0
236,0.9810000061988831,32147074.0
237,0.9801999926567078,32280914.0
238,0.98089998960495,32417410.0
239,0.9810000061988831,32552576.0
240,0.9803000092506409,32685540.0
241,0.9810000061988831,32823382.0
242,0.9811999797821045,32957184.0
243,0.980400025844574,33091212.0
244,0.9800000190734863,33226292.0
245,0.9803000092506409,33359060.0
246,0.9807000160217285,33494078.0
247,0.9804999828338623,33631036.0
248,0.9805999994277954,33763608.0
249,0.9805999994277954,33899280.0
250,0.9804999828338623,34034132.0
251,0.9800000190734863,34168096.0
252,0.980400025844574,34300476.0
253,0.9811999797821045,34436908.0
254,0.9799000024795532,34571328.0
255,0.98089998960495,34707352.0
256,0.9807999730110168,34843624.0
