num_leaf,rewards,method
128,-0.758,ensemble
190,-0.7411,ensemble
256,-0.7009,ensemble
64,-2.352976340358784,sympol
128,-2.352526193572412,sympol
256,-2.352556888160437,sympol
64,-8.855738639831543,ddt
128,-6.346632957458496,ddt
256,-5.6,ddt
