num_leaf,rewards,method
12,-1.3703,ensemble
17,-1.3703,ensemble
22,-1.3601,ensemble
27,-1.3533,ensemble
32,-1.3533,ensemble
6,-1.638863574782898,sympol
16,-1.608863574782898,sympol
32,-1.5954684746368264,sympol
6,-1.743517851829529,ddt
16,-1.6441092491149902,ddt
32,-1.621456928253174,ddtplt
