num_leaf,rewards,method
18,-0.5939,ensemble
27,-0.5807,ensemble
36,-0.568,ensemble
8,-1.1500419127941528,sympol
16,-1.2100612450818973,sympol
24,-1.1212487947244774,sympol
32,-1.1212487947244774,sympol
8,-1.0351970195770264,ddt
16,-0.9095047116279602,ddt
24,-0.9012738180160522,ddt
32,-0.8940693473815918,ddt
